Row,Class,Seats
1,Up Front,ABC
2,Up Front,ABCDEF
3,Up Front,ABCDEF
4,Up Front,ABCDEF
5,Up Front,ABCDEF
6,Up Front,ABCDEF
7,Up Front,ABCDEF
8,Economy,ABCDEF
9,Economy,ABCDEF
10,Economy,ABCDEF
11,Economy,ABCDEF
12,Economy,ABCDEF
13,Economy,ABCDEF
14,Economy,ABCDEF
15,Economy,ABCDEF
16,Economy,ABCDEF
17,Economy,ABCDEF
18,Economy,ABCDEF
19,Economy,ABCDEF
20,Economy,ABCDEF
21,Economy,ABCDEF
22,Economy,ABCDEF
23,Economy,ABCDEF
24,Economy,ABCDEF
25,Economy,ABCDEF
26,Economy,ABCDEF
27,Economy,ABCDEF
28,Economy,BCDE
29,Economy,ABCDEF
30,Economy,ABCDEF
31,Economy,ABCDEF
32,Economy,ABCDEF
33,Economy,ABCDEF
34,Economy,ABCDEF
35,Economy,ABCDEF
36,Economy,ABCDEF
37,Economy,ABCDEF
38,Economy,ABCDEF
39,Economy,ABCDEF
40,Economy,ABCDEF
